id,month,top1,top2,top3
0,1701,1620987.91,157920.89,261836.21
1,1702,1825898.04,676661.3,360184.3
2,1703,2014605.25,1556895.45,178331.86
3,1704,1637065.63,2303062.62,273221.6
4,1705,1612520.35,2172121.53,481508.69
5,1706,2044972.15,2169524.24,784282.75
6,1707,2217772.59,1961362.07,820467.97
7,1708,2028604.59,1845476.09,664241.06
8,1709,1538920.12,1605176.7,755365.31
9,1710,1856970.37,2221739.23,917303.65
10,1711,2125229.09,2044125.48,671799.18
11,1712,1808690.03,2119261.12,587587.57
12,1801,1978318.03,2592258.18,700987.06
13,1802,2457764.89,2116526.83,869154.79
14,1803,2276905.06,2469045.78,1000276.03
15,1804,2032280.18,2485999.21,829752.34
16,1805,2924283.37,3265398.15,913758.21
17,1806,2833079.4,2669596.18,977714.34
18,1807,2046154.1,2134923.03,864815.63
19,1808,2314579.07,2267893.99,1002985.17
20,1809,1292431.5,1782074.7,611407.26
21,1810,1302087.56,2061884.95,874995.41
22,1811,1125304.88,1896500.6,816864.27
23,1812,1155119.77,1706159.41,872701.83
24,1901,1575295.32,2227503.75,1040228.94
25,1902,2125751.63,1747694.97,775054.75
26,1903,1953717.71,1487629.23,791990.82
27,1904,1828602.05,1506258.62,703787.4
28,1905,2251442.91,1504712.19,517830.32
29,1906,3112817.73,1026167.97,674648.31
30,1907,1872774.42,415153.45,613793.24
31,1908,1200821.25,272748.25,1667991.87
32,1909,637515.4,54037.79,1443977.65
33,1910,674920.1,12567.65,1139794.01
34,1911,533244.83,30776.98,601073.23
35,1912,564743.99,14103.94,351883.29
36,2001,413483.03,37170.72,289888.19
37,2002,789315.14,33820.37,359375.54
38,2003,371444.49,0,260205.04
